Layer,Media (cpu) [s]
Block_0_Attention,0.010176791999995095
Block_1_Attention,0.008287115333322012
Block_2_Attention,0.00833248438095238
Block_3_Attention,0.008709366952394876
Block_4_Attention,0.008902910904761743
Block_5_Attention,0.008582815476199272
Block_6_Attention,0.008204905380953928
Block_7_Attention,0.008124637047628658
Block_8_Attention,0.008041185238101076
Block_9_Attention,0.00828273847619563
Block_10_Attention,0.008282895380938541
Block_11_Attention,0.008271492190482647
Block_0_MLP,0.013057518285699015
Block_1_MLP,0.011922460047598872
Block_2_MLP,0.012580957238085267
Block_3_MLP,0.012757829619057961
Block_4_MLP,0.012879995571438485
Block_5_MLP,0.01197715133332622
Block_6_MLP,0.012014127238092528
Block_7_MLP,0.011742846904759236
Block_8_MLP,0.012078850523802689
Block_9_MLP,0.012180599523806753
Block_10_MLP,0.011896884238088509
Block_11_MLP,0.012077351285705888
